Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
P47890,0.694,20,0.06,0.231,0.014,65,168.739,14.084,154.656,517.366,53.684,4.021,0.54,0.877,40.417,3.917,3,1,25.641,4.022,9.864,0.944
P47893,0.727,30,-0.231,0.145,0.076,116,404.794,98.056,306.738,1340.201,51.318,3.989,0.52,0.733,42.818,4.136,7,-1,32.468,8.11,23.076,0.734
P47895,0.97,27,0.312,0.395,0.005,187,459.117,151.133,307.984,1728.504,46.171,3.87,0.454,0.626,25.976,4.214,23,-3,34.783,11.94,35.367,0.989
P47897,0.585,45,-0.054,0.072,0.041,38,140.389,28.079,112.309,450.053,27.379,3.942,0.464,0.763,41.889,5,5,-1,25.926,4.11,9.257,0.72
P47898,0.824,38,-0.001,0.679,0.131,76,289.499,45.4,244.099,879.548,37.714,3.983,0.491,0.829,57.368,4.895,7,1,26.923,6.755,15.605,0.712
P47900,0.825,26,0.093,0.577,0.186,42,109.476,17.32,92.155,445.523,20.783,3.867,0.537,0.548,42,4.167,6,2,31.034,4.061,11.862,0.942
P47901,0.931,35,-0.177,0.109,0.061,56,219.579,11.808,207.771,588.144,41.245,3.956,0.552,0.946,59.933,4.2,1,0,18.605,5.36,13.141,0.971
P47902,0.059,11,-0.108,0.024,0.019,37,210.31,90.755,119.555,621.832,17,4.234,0.526,0.486,44.833,4.667,3,1,35.714,4.164,9.445,0.3
P47914,0.314,10,0.124,0.158,0.128,15,57.238,6.517,50.72,205.721,14,3.936,0.596,1,12.25,6.5,3,3,21.429,2.192,5.098,0.996
P47928,0.518,9,0.226,0.014,0.012,41,150.364,17.387,132.977,422.992,29,3.895,0.498,0.732,31.818,4.182,3,1,29.63,4.025,8.951,0.784
P47929,0.429,8,0.372,0.107,0.036,25,32.47,1.071,31.398,119.991,16,3.615,0.44,0.68,81.8,4.5,1,0,23.529,2.181,4.88,0.976
P47944,0.264,5,0.351,0.075,0.038,31,50.571,20.38,30.191,107.653,19,3.742,0.519,0.645,23.6,4.4,4,-1,36.842,1.193,3.761,0.355
P47972,0.238,27,0.045,0.091,0.08,29,88.14,26.809,61.331,313.114,22,3.986,0.507,0.793,30.125,4.625,6,0,40,2.707,7.369,0.998
P47974,0.546,26,0.072,0.258,0.196,21,115.644,33.525,82.119,341.913,15.176,3.87,0.467,0.81,34.143,3.857,2,1,31.579,3.411,10.363,0.242
P47985,0.202,17,0.258,0.138,0.104,17,99.28,7.5,91.78,357.036,11.077,3.912,0.728,0.765,52,3.667,1,0,35,4.084,10.521,0.994
P47989,0.993,92,0.099,0.81,0.735,130,187.242,37.833,149.409,610.392,37.364,3.902,0.489,0.508,28.464,3.75,13,0,38.571,6.627,20.267,0.989
P47992,0.64,9,0.291,0.106,0.088,22,87.661,13.995,73.665,352.126,14.211,4.025,0.659,0.864,20.444,4.889,4,2,28.571,4.441,10.912,0.991
P48023,0.593,15,0.343,0.019,0.006,37,97.383,23.638,73.744,257.854,28.933,3.769,0.414,0.811,52.583,4.833,4,-1,30.435,3.12,8.224,0.721
P48029,0.687,35,0.093,0.636,0.43,59,126.372,24.931,101.441,464.899,40.837,4.036,0.521,0.729,48.875,4.875,6,0,24.39,3.86,9.765,0.801
P48039,0.84,26,0.147,0.62,0.508,67,154.947,28.146,126.801,520.79,41.404,3.909,0.428,0.701,47.75,4.15,8,1,29.268,4.677,12.525,0.965
P48047,0.704,18,0.087,0.391,0.364,27,120.189,0,120.189,265.916,25.704,3.956,0.448,1,74.667,4.889,1,1,0,2.754,7.994,0.838
P48048,0.784,40,0.122,0.72,0.581,31,123.296,8.572,114.725,390.543,16.545,3.835,0.687,0.71,55.167,4,2,0,28,5.345,13.351,0.634
P48050,0.711,35,-0.098,0.583,0.331,27,142.162,15.045,127.118,439.018,22,4.212,0.664,0.926,47.1,4.1,2,0,24,4.149,10.513,0.94
P48051,0.911,31,-0.246,0.063,0.036,77,336.177,60.046,276.131,927.391,41.902,3.929,0.525,0.792,53.562,4.188,7,-1,25,7.456,19.198,0.501
P48052,0.414,30,0.02,0.129,0.11,243,541.808,290.622,251.187,1982.105,20.4,3.932,0.452,0.247,17.462,3.981,34,1,51.181,10.664,25.199,0.921
P48058,0.588,76,0.077,0.393,0.293,37,101.559,8.572,92.987,457.427,29.027,3.959,0.564,1,89,5.7,3,0,6.667,4.77,10.9,0.915
P48059,0.212,28,0.229,0.117,0.086,41,179.289,77.136,102.153,589.562,22.286,4.014,0.544,0.683,6.917,4.5,8,4,39.394,5.085,10.556,0.889
P48060,0.826,26,0.109,0.221,0.045,82,195.285,43.124,152.161,495.099,58.87,4.02,0.476,0.841,45.308,5.154,9,1,34.783,4.645,14.504,0.615
P48061,0.441,6,0.072,0.21,0.001,19,101.305,1.071,100.233,235.178,13.333,3.802,0.686,0.789,60.4,4.6,1,1,22.222,3.539,9.341,0.809
P48065,0.91,33,0.191,0.492,0.459,112,290.816,93.814,197.002,971.516,34.966,3.994,0.545,0.518,33.828,4.448,17,0,35.135,8.426,20.11,0.843
P48066,0.673,32,-0.007,0.534,0.088,41,126.12,5.357,120.763,390.518,32.765,3.989,0.567,0.829,70.1,5.3,5,0,17.857,3.524,8.493,0.994
P48067,0.946,51,0.243,0.817,0.573,112,230.061,65.824,164.237,756.386,33.964,3.919,0.422,0.5,42.964,4.571,15,0,37.288,7.219,18.628,0.862
P48145,0.562,25,0.252,0.48,0.176,44,89.913,5.379,84.534,328.015,41,4.064,0.544,0.955,56.25,5,3,0,17.857,2.527,6.326,0.939
P48146,0.479,25,-0.499,0.113,0.067,105,343.364,93.385,249.979,1226.462,45.094,4.102,0.457,0.61,32.6,4.4,9,6,33.846,6.151,17.025,0.583
P48147,0.825,56,0.164,0.068,0.049,53,163.408,36.607,126.801,608.005,33.077,3.942,0.487,0.736,8.722,3.889,11,-2,32.432,5.035,14.049,0.993
P48163,0.312,36,0.091,0.298,0.193,84,176.179,67.493,108.687,547.801,30.17,3.934,0.453,0.56,38.421,4.579,8,2,30.435,5.502,12.959,0.957
P48165,0.841,18,0.397,0.647,0.037,58,102.767,8.572,94.195,347.687,39.511,3.774,0.435,0.776,56,4.5,5,2,28.571,4.3,10.592,0.809
P48167,0.755,36,0.206,0.561,0.554,26,111.489,7.633,103.856,416.334,19.304,3.969,0.691,0.885,85,5,1,0,26.923,4.14,10.391,0.825
P48169,0.57,40,0.19,0.402,0.381,21,80.25,17.453,62.797,269.533,14.824,3.933,0.664,0.81,11,5.333,5,1,36.364,3.989,10.99,0.878
P48200,0.905,61,-0.219,0.511,0.036,75,234.537,40.109,194.428,742.335,53.429,3.964,0.566,0.84,31.6,4.2,7,0,29.63,5.535,16.645,0.899
P48201,0.319,9,0.412,0.243,0.034,24,94.414,26.786,67.627,345.84,17,3.989,0.634,0.75,22.667,3.667,2,0,30,3.753,8.876,0.89
P48230,0.841,15,0.021,0.251,0.07,170,390.05,137.656,252.394,1347.963,44.022,3.942,0.454,0.541,27.906,4.156,14,0,38.043,9.051,24.695,0.582
P48304,0.362,9,0.102,0.082,0.01,17,54.207,1.071,53.136,126.917,16,3.652,0.583,1,66.5,4.5,1,0,20,1.45,4.117,0.3
P48307,0.763,16,0.02,0.008,0.006,86,296.997,100.332,196.665,947.551,29.333,3.888,0.47,0.488,22.682,4.182,10,4,36.207,6.795,16.337,0.527
P48357,0.607,73,-0.675,0.033,0.027,206,693.987,270.109,423.878,2270.806,52.565,3.885,0.465,0.67,33.382,4.088,17,1,31.933,10.328,24.919,0.278
P48378,0.962,61,0.301,0.021,0.014,214,418.975,97.449,321.526,1728.078,75.552,4.052,0.512,0.771,41.242,4.848,18,2,25.439,11.025,28.315,0.956
P48380,0.986,50,0.151,0.014,0.004,119,280.331,42.052,238.278,965.195,60.196,3.986,0.484,0.773,55.619,4.714,8,0,25.676,7.678,20.631,0.984
P48382,0.11,10,0.002,0.036,0.032,25,111.33,56.986,54.343,313.756,14,4.181,0.629,0.6,18.6,4,3,0,45,2.525,5.943,0.117
P48426,0.488,33,-0.179,0.098,0.014,135,382.227,145.532,236.695,1139.107,49.616,4.001,0.464,0.541,28.645,3.903,16,0,35.065,7.625,17.885,0.858
P48431,0.164,15,0.199,0.079,0.029,24,116.603,62.676,53.927,381.918,12,3.904,0.395,0.542,39.636,4.636,5,-1,38.095,3.893,8.775,0.845
P48436,0.226,11,0.117,0.063,0.009,32,73.95,26.853,47.098,254.193,23,3.973,0.539,0.75,31.667,4.833,4,-2,28.571,2.431,5.18,0.551
P48443,0.953,38,0.114,0.465,0.059,105,188.866,14.017,174.848,660.556,66.517,3.969,0.494,0.848,60.217,4.348,6,2,22.807,6.165,14.03,0.933
P48444,0.626,39,0.191,0.083,0.08,58,177.064,52.679,124.386,592.984,25.806,3.923,0.541,0.534,15,4.909,8,3,44.118,5.299,15.871,0.993
P48448,0.732,19,0.218,0.708,0.241,47,169.103,29.018,140.085,610.227,16.467,3.923,0.632,0.638,39.857,3.714,4,0,31.579,7.929,21.171,0.971
P48449,0.935,37,0.405,0.237,0.049,140,190.854,39.821,151.033,759.95,64.948,3.904,0.472,0.693,51.7,4.7,13,0,19.737,6.61,15.754,0.991
P48454,0.502,35,0.279,0.143,0.136,62,85.14,34.419,50.72,334.163,26,3.663,0.457,0.452,23.462,4.462,8,1,42.105,4,11.828,0.925
P48506,0.166,42,0.16,0.029,0.022,56,134.767,44.195,90.572,545.935,36.718,4.142,0.58,0.696,-4.857,4.071,10,-1,42.5,4.467,10.781,0.971
P48507,0.164,20,0.097,0.036,0.021,52,145.287,49.885,95.403,556.007,20.615,3.944,0.55,0.5,19.556,4.278,13,4,48.718,4.933,9.69,0.945
P48509,0.958,21,0.145,0.797,0.449,87,255.688,32.277,223.411,953.167,36.526,4.087,0.542,0.655,42.938,3.938,5,0,32.759,7.061,18.11,0.902
P48539,0.623,5,0.348,0.019,0.001,30,122.461,24.644,97.818,406.76,14.875,4.083,0.64,0.533,31,3.25,3,-2,33.333,4.266,9.877,0.91
P48544,0.737,42,0.367,0.665,0.183,62,169.542,45.156,124.386,585.292,23.2,4.028,0.514,0.645,35.941,4.647,8,0,28.571,6.232,15.902,0.767
P48546,0.607,45,0.167,0.18,0.079,67,166.533,51.828,114.705,537.416,32.722,4.094,0.509,0.537,42.5,5.5,5,3,32.5,4.079,14.364,0.549
P48547,0.65,43,-0.046,0.263,0.223,42,124.135,2.165,121.97,363.023,37,4.088,0.494,0.905,78,5,1,0,12,2.806,7.326,0.939
P48549,0.905,44,0.272,0.849,0.748,50,155.266,13.973,141.293,540.615,21.438,3.848,0.528,0.64,56.643,4.571,5,-1,30,5.783,13.433,0.943
P48551,0.104,18,0.017,0.033,0.025,25,112.977,13.951,99.026,298.614,16.316,3.823,0.681,0.76,67.333,4.5,2,0,33.333,4.367,11.569,0.735
P48552,0.35,36,-0.037,0.264,0.207,17,108.963,7.522,101.441,336.933,16,4.187,0.471,1,26,4.75,2,0,13.333,3.313,6.718,0.255
P48553,0.656,121,-0.267,0.504,0.294,241,665.395,285.012,380.383,2180.938,27.889,4.018,0.467,0.373,24.512,4.14,22,5,42.222,13.346,35.379,0.616
P48556,0.817,30,0.263,0.354,0.05,77,143.596,28.079,115.516,509.919,38.824,3.836,0.41,0.662,25.211,5.105,11,3,30.233,5.138,11.92,0.684
P48594,0.059,31,-0.135,0.005,0.005,139,360.368,138.165,222.204,1333.946,45.701,4.06,0.508,0.482,22.25,3.875,13,2,41.333,6.927,15.581,0.583
P48595,0.389,37,0.14,0.025,0.017,74,232.759,105.8,126.959,920.892,24.571,4.19,0.556,0.473,7.5,4.062,9,0,39.216,5.975,17.467,0.919
P48634,0.861,149,-0.342,0.284,0.179,96,362.127,120.601,241.526,1043.087,34.667,3.938,0.421,0.562,-1.15,3.8,7,2,33.333,7.544,22.724,0.54
P48637,0.35,30,-0.041,0.178,0.053,94,280.629,98.277,182.352,1102.421,32.898,3.967,0.469,0.521,9.4,3.8,10,-1,40,6.63,15.727,0.822
P48643,0.938,46,0.309,0.042,0.021,180,306.945,109.864,197.081,1148.065,42.156,3.934,0.449,0.356,14.341,3.537,22,1,52.174,8.314,21.404,0.915
P48645,0.161,10,0.141,0.004,0.003,61,183.922,78.858,105.064,644.539,30.188,4.08,0.551,0.525,13.1,4.7,5,4,45.946,4.332,12.691,0.331
P48651,0.998,37,-0.59,0.581,0.476,195,575.729,90.777,484.951,1751.874,64.427,4.042,0.471,0.672,45.257,4.6,18,2,30.556,9.185,29.576,0.907
P48664,0.55,49,0.252,0.525,0.52,66,157.912,44.395,113.517,504.571,38.318,4.038,0.503,0.667,43.5,3.667,5,0,31.707,4.406,9.528,0.743
P48668,0.626,20,0.376,0.536,0.176,23,122.726,18.237,104.489,428.487,13.059,3.817,0.663,0.739,37.25,4.125,3,0,33.333,5.837,14.594,0.981
P48681,0.563,88,0.073,0.205,0.148,42,174.346,35.469,138.877,737.901,17.917,4.171,0.511,0.571,17.917,4.083,8,-1,31.25,5.297,14.171,0.586
P48723,0.105,33,-0.082,0.065,0.046,44,97.848,53.165,44.682,334.282,24,4.091,0.46,0.568,18.5,4.5,4,1,44,2.755,6.96,0.91
P48728,0.861,22,0.117,0.224,0.01,195,495.187,135.017,360.17,1629.732,40.883,4.012,0.468,0.395,31.556,4.044,19,4,36.792,11.408,26.49,0.992
P48729,0.048,19,0.055,0.028,0.012,114,337.849,151.895,185.955,1285.071,35.5,3.967,0.516,0.421,14.935,4,18,-3,43.243,8.329,23.806,0.93
P48730,0.061,31,-0.316,0.022,0.014,31,190.047,31.294,158.753,521.104,24.923,4.092,0.518,0.839,50.5,4.125,2,1,23.077,3.997,8.656,0.477
P48735,0.161,27,-0.225,0.158,0.085,81,280.787,104.077,176.71,827.02,15.4,3.9,0.472,0.37,0.882,3.706,10,2,39.583,7.725,21.547,0.943
P48736,0.681,89,-0.312,0.55,0.083,68,215.61,60.4,155.21,580.131,50.909,3.934,0.447,0.809,36.368,4.421,9,-2,26.19,4.757,11.672,0.967
P48739,0.94,21,-0.368,0.004,0.002,316,749.673,162.786,586.887,2498.623,67.076,4.011,0.48,0.582,32.424,4.136,28,-1,32.335,11.721,29.681,0.889
P48740,0.409,49,0.152,0.175,0.128,27,79.897,38.838,41.059,302.506,18,3.84,0.511,0.704,27,5.714,4,1,45,2.678,7.958,0.887
P48741,0.254,26,-0.158,0.143,0.061,188,549.134,197.715,351.42,2046.328,18.842,3.978,0.492,0.303,4.091,3.523,26,2,45.378,11.444,33.815,0.873
P48742,0.615,24,-0.221,0.337,0.063,102,419.879,158.655,261.223,1255.17,24.051,4.054,0.495,0.382,24,4.043,9,-1,38.095,9.321,28.207,0.746
P48745,0.234,32,0.013,0.088,0.049,117,330.535,169.525,161.01,1047.07,34.732,3.938,0.47,0.35,11.071,3.893,17,6,50.746,7.435,17.708,0.778
P48751,0.874,91,0.039,0.355,0.128,124,289.503,54.016,235.487,996.947,56.261,3.89,0.403,0.742,38.556,4.259,10,1,30.882,6.752,14.856,0.94
P48764,0.653,73,0.236,0.397,0.31,64,210.171,50.447,159.724,645.058,38.28,3.819,0.468,0.781,62.062,4.625,6,-1,26.667,6.323,15.732,0.746
P48775,0.947,31,0.069,0.186,0.016,139,305.595,63.991,241.605,1064.6,56.447,3.943,0.474,0.676,46.088,4.559,15,4,28.395,7.01,17.011,0.94
P48788,0.432,16,0.242,0.158,0.065,46,179.405,68.64,110.765,688.68,21.259,4.086,0.542,0.587,1,4,5,-1,32.258,5.999,14.691,0.189
P48960,0.977,65,-0.03,0.061,0.033,137,323.942,55.849,268.094,1099.982,72.84,4.033,0.514,0.869,66.042,4.833,9,0,15.789,7.039,19.04,0.805
P48995,0.591,82,-0.208,0.504,0.5,49,161.572,2.165,159.407,400.187,37.628,3.928,0.516,0.878,63.455,4.545,3,-1,24.242,4.194,10.431,0.93
P49005,0.964,27,0.201,0.274,0.245,57,159.806,25.759,134.047,449.465,21.294,3.825,0.473,0.596,19,4.375,6,-1,25,5.719,15.009,0.967
P49006,0.117,6,0.252,0.006,0.002,20,80.605,43.168,37.436,252.198,9,4.109,0.686,0.5,-24.25,3.75,3,-1,35.294,2.138,5.694,0.313
P49019,0.904,33,0.281,0.267,0.18,77,159.986,43.974,116.011,509.589,28.489,3.729,0.397,0.584,59.231,4.808,10,-1,32.609,5.848,12.595,0.891
P49023,0.297,28,-0.23,0.11,0.057,36,188.935,54.888,134.047,664.296,23.36,4.191,0.53,0.694,34.417,4.583,5,2,38.71,4.629,11.775,0.585
P49069,0.664,28,0.173,0.468,0.344,38,181.52,24.865,156.655,584.712,17.655,3.993,0.691,0.763,55.5,5,4,1,23.684,6.111,16.619,0.806
P49116,0.988,55,-0.03,0.018,0.008,153,565.497,157.318,408.178,1943.723,46.653,3.967,0.466,0.66,42.971,3.943,14,1,31.313,12.58,34.671,0.209
P49137,0.467,31,0.352,0.301,0.075,88,158.146,60.09,98.055,634.871,39.532,3.772,0.465,0.534,31.632,4.211,8,-3,38.462,6.057,15.902,0.6
P49146,0.942,31,0.051,0.417,0.305,190,452.424,134.818,317.606,1832.435,40.327,3.983,0.472,0.516,34.524,4.381,25,2,38.136,10.173,25.978,0.904
P49184,0.307,12,0.411,0.014,0.012,44,135.777,54.866,80.911,510.143,17.238,3.94,0.585,0.477,29,4.636,5,-1,32.353,5.298,11.814,0.989
P49189,0.982,28,0.245,0.498,0.184,131,341.896,70.22,271.676,1111.837,33.19,3.888,0.433,0.603,32.364,4.273,18,-2,34.177,9.523,25.159,0.914
P49190,0.706,47,-0.002,0.703,0.512,33,151.916,22.7,129.216,417.469,25.688,3.888,0.443,0.97,52.571,4.786,7,1,23.077,4.94,8.91,0.847
P49207,0.57,12,0.278,0.121,0.08,40,131.811,34.884,96.927,375.926,19.76,4.127,0.576,0.625,32,4.5,3,1,37.037,3.892,9.758,0.883
P49221,0.802,42,0.139,0.2,0.158,69,135.883,45.311,90.572,431.665,41.156,3.72,0.364,0.652,22.722,4.167,10,-2,42.857,4.463,10.107,0.812
P49223,0.763,2,0.327,0.001,0,36,165.396,38.595,126.801,584.5,17.364,3.968,0.639,0.611,42.75,4.417,4,1,29.032,5.64,13.869,0.747
P49238,0.832,34,0.042,0.808,0.156,176,489.445,140.44,349.005,1637.218,38.721,3.853,0.468,0.631,34,4.647,18,7,32.432,10.886,27.483,0.59
P49247,0.438,17,0.061,0.268,0.122,19,76.899,8.638,68.261,210.547,17,4.056,0.634,0.947,20.333,3.167,0,0,20,2.375,5.2,0.998
P49257,0.28,50,0.054,0.202,0.147,122,317.727,114.845,202.882,1143.915,37.045,3.953,0.52,0.549,17.5,3.556,8,0,34.722,7.198,17.638,0.452
P49279,0.926,44,-0.161,0.828,0.207,56,201.626,5.357,196.269,473.111,42.72,3.924,0.493,0.893,56.818,3.909,3,0,21.053,4.518,12.718,0.883
P49281,0.515,41,-0.13,0.487,0.412,37,123.283,27.88,95.403,318.816,30.438,3.888,0.442,0.865,22.909,3.545,5,1,26.923,3.294,8.233,0.865
P49286,0.961,25,0.378,0.818,0.058,137,206.825,38.727,168.098,833.164,53.506,3.845,0.443,0.591,45.156,4.25,16,0,34.722,6.675,15.215,0.978
P49321,0.105,24,0.174,0.084,0.038,20,90.621,46.117,44.504,334.562,13,4.09,0.671,0.7,1.75,3.75,3,-2,33.333,3.913,8.083,0.169
P49326,0.646,43,-0.016,0.226,0.138,162,355.647,116.536,239.11,1347.126,58.135,4.086,0.486,0.549,19.531,4,18,0,36.264,7.685,21.418,0.863
P49327,0.963,189,-0.022,0.818,0.695,257,589.217,242.627,346.589,2111.836,37.707,3.928,0.462,0.479,28.15,4.5,24,-2,36.957,13.228,39.248,0.694
P49335,0.639,7,0.334,0.016,0.007,32,93.839,22.589,71.25,204.31,19,3.683,0.414,0.625,47.636,4,4,-2,37.5,2.86,8.303,0.761
P49336,0.543,42,-0.065,0.128,0.119,93,207.586,42.141,165.445,848.549,48.34,4.053,0.504,0.57,18.667,3.958,12,1,36.364,5.255,12.078,0.89
P49354,0.3,30,0.293,0.249,0.151,66,150.318,81.741,68.577,503.105,26.929,3.919,0.485,0.424,1,5.071,10,-1,43.59,4.504,11.071,0.724
P49356,0.445,34,0.216,0.098,0.062,56,125.684,27.074,98.61,485.061,44.571,3.906,0.491,0.875,54.75,5.688,11,2,27.027,4.461,9.484,1
P49366,0.629,23,0.13,0.281,0.126,43,175.262,50.58,124.682,636.912,15,3.872,0.502,0.372,7.778,4.333,7,2,38.235,5.21,13.956,0.664
P49368,0.823,42,0.091,0.149,0.102,118,287.546,115.983,171.562,895.313,35.319,3.928,0.428,0.398,19.933,3.533,14,-2,40.323,6.973,17.963,0.834
P49406,0.516,20,0.163,0.206,0.067,50,147.2,32.476,114.725,464.904,29.871,3.954,0.567,0.62,14.571,4.786,7,3,39.394,4.234,9.81,0.96
P49407,0.866,32,-0.258,0.618,0.471,110,326.567,152.669,173.898,952.571,23.029,3.945,0.478,0.318,3.385,4.192,17,2,49.231,6.979,20.864,0.788
P49411,0.478,31,0.262,0.282,0.252,60,150.456,62.3,88.157,535.474,14,3.88,0.472,0.25,14.059,3.529,10,1,53.846,6.537,16.889,0.887
P49418,0.237,22,-0.024,0.115,0.043,41,195.092,74.329,120.763,590.729,19,4.189,0.412,0.488,21.25,4.583,9,-1,38.462,4.128,12.62,0.76
P49419,0.941,26,0.026,0.384,0.089,123,350.301,63.46,286.841,1123.417,41.614,3.892,0.504,0.675,31,3.455,13,0,32.895,8.073,18.028,0.992
P49427,0.59,18,0.017,0.013,0.013,39,224.705,71.336,153.369,656.724,24.774,4.106,0.557,0.795,19.333,5.556,7,1,30.556,5.816,14.16,0.481
P49441,0.575,25,0.207,0.035,0.01,131,244.541,106.871,137.67,974.569,29.889,3.912,0.46,0.275,20.194,3.903,19,-3,49.275,6.168,15.322,0.882
P49447,0.891,21,-0.126,0.834,0.024,206,427.789,115.013,312.776,1574.359,51.126,3.857,0.446,0.578,39.125,4.938,17,10,30.973,8.94,24.869,0.956
P49448,0.15,32,-0.068,0.123,0.103,195,478.448,197.803,280.645,1618.677,20.548,3.991,0.472,0.318,3.727,3.318,24,3,50,9.888,23.124,0.949
P49450,0.815,8,-0.009,0.444,0.038,66,303.98,62.454,241.526,1150.715,32.298,4.259,0.591,0.712,40.471,4.294,9,-1,30.508,6.856,17.593,0.979
P49454-1,0.524,157,0.283,0.478,0.369,25,126.261,13.951,112.309,469.327,11.765,3.895,0.687,0.68,38.25,5.125,4,1,33.333,6.39,16.003,0.943
P49454-10,0.769,111,0.416,0.529,0.405,34,134.011,19.286,114.725,614.461,14,3.98,0.717,0.647,28,4.5,5,1,29.412,7.018,19.53,0.877
P49454-2,0.336,130,0.05,0.195,0.116,40,127.469,24.821,102.648,515.668,25.688,4.006,0.6,0.8,43.5,4.667,3,0,28.571,4.896,12.29,0.882
P49454-3,0.243,149,0.241,0.167,0.089,34,155.268,16.094,139.174,468.242,13.048,3.93,0.642,0.618,46.625,4.5,3,0,28.125,6.904,16.243,0.905
P49454-4,0.452,147,0.156,0.275,0.224,36,156.51,39.865,116.645,471.505,23.484,3.878,0.544,0.861,42.125,5.25,4,1,34.483,5.332,10.206,0.914
P49454-5,0.384,143,0.067,0.122,0.097,28,98.78,11.83,86.949,275.396,23.704,3.775,0.579,0.964,61.833,5,2,0,26.087,4.048,9.666,0.888
P49454-6,0.484,138,0.148,0.417,0.359,25,98.735,11.786,86.949,345.585,17.9,3.904,0.59,0.8,37.667,4.5,3,0,23.81,4.196,10.349,0.926
P49454-7,0.906,148,-0.256,0.298,0.15,118,436.268,139.192,297.077,1387.179,30.687,4.001,0.528,0.568,25.412,4.059,9,-4,38.158,8.51,25.039,0.665
P49454-8,0.792,143,0.038,0.607,0.58,32,141.588,40.959,100.629,383.796,19.565,3.978,0.565,0.719,26.25,4.625,5,0,30.769,4.771,11.035,0.694
P49454-9,0.826,112,0.372,0.172,0.116,60,182.58,63.282,119.298,718.474,30.622,3.816,0.618,0.75,2.125,4.5,6,-3,34.091,6.488,14.929,0.56
P49458,0.719,9,0.195,0.12,0.011,18,96.5,10.759,85.742,332.757,14.125,3.969,0.565,0.889,58.429,4.857,3,0,22.222,3.85,9.745,0.995
P49459,0.163,10,0.284,0.017,0.001,25,93.402,28.19,65.212,311.092,15,4.114,0.608,0.64,38.143,5,3,2,31.579,2.303,5.894,0.97
P49585,0.444,28,0.056,0.321,0.294,61,157.085,79.797,77.288,562.317,16.8,3.921,0.52,0.328,11.167,4.5,10,-1,36.842,5.035,15.861,0.78
P49588,0.114,65,-0.285,0.043,0.026,78,278.215,64.465,213.75,925.178,20.286,4.019,0.469,0.359,5.889,3.5,9,-2,36.957,5.969,15.578,0.756
P49589,0.765,54,0.291,0.641,0.103,140,333.993,126.202,207.791,1537.265,39.254,4.093,0.565,0.479,4.625,4.125,14,3,37.778,8.718,23.425,0.836
P49590,0.622,34,-0.118,0.448,0.137,32,115.524,3.214,112.309,325.289,31,3.997,0.507,1,87.667,5,1,0,18.182,2.975,7.006,0.244
P49591,0.112,36,0.061,0.11,0.046,34,72.967,15,57.966,253.969,27,4.06,0.546,0.824,79.273,4.364,1,0,28.571,2.069,4.456,0.886
P49593,0.046,29,-0.043,0.028,0.02,52,154.849,57.031,97.818,530.088,24.769,3.95,0.526,0.5,9.562,3.25,9,-1,44.444,4.237,10.43,0.88
P49619,0.959,68,-0.047,0.01,0.007,207,389.618,134.729,254.889,1491.301,91.073,4.048,0.502,0.594,18,3.647,18,-2,38.462,8.072,24.609,0.769
P49638,0.941,17,0.179,0.001,0.001,162,260.403,22.501,237.903,1002.067,99.589,4.087,0.475,0.901,82.625,4.938,6,0,10.667,6.827,14.666,0.982
P49639,0.325,4,-0.01,0.028,0.003,17,107.035,22.501,84.534,272.606,12,3.81,0.619,0.765,29.667,4.5,3,-1,21.053,3.322,7.418,0.2
P49640,0.188,10,0.042,0.181,0.066,16,57.421,4.286,53.136,175.277,15,3.881,0.556,1,40.25,4.75,2,0,21.429,1.702,4.42,0.59
P49641,0.634,84,-0.093,0.611,0.187,112,256.06,82.161,173.898,1019.153,41.17,3.982,0.499,0.473,13.13,4.783,14,3,36.364,5.842,15.31,0.908
P49642,0.516,33,0.139,0.188,0.015,60,187.565,57.141,130.424,678.627,28.973,4.035,0.545,0.617,0.167,4.333,8,1,43.902,5.82,15.135,0.989
P49643,0.432,47,0.244,0.145,0.095,41,41.299,1.071,40.227,204.948,40,3.597,0.428,1,38.923,4.077,2,0,11.538,2.878,4.911,0.974
P49662,0.679,34,0.404,0.597,0.189,41,87.867,11.786,76.081,250.557,18.857,3.648,0.394,0.512,22,4.545,7,2,37.037,3.309,7.678,0.695
P49674,0.012,30,-0.198,0.011,0.009,21,79.686,9.643,70.042,167.931,20,4.1,0.506,1,57.625,5.125,3,0,13.333,1.534,3.475,0.865
P49675,0.971,25,0.468,0.021,0.019,116,190.425,39.887,150.538,780.015,36.212,3.857,0.423,0.569,51.133,4.3,10,2,32.759,7.33,17.126,0.965
P49682,0.59,29,0.21,0.368,0.038,68,166.31,62.454,103.856,626.467,37.083,3.874,0.534,0.706,35.062,5.25,11,1,35.556,5.427,14.132,0.906
P49683,0.905,25,-0.063,0.826,0.122,49,123.068,10.759,112.309,384.467,39.2,3.868,0.489,0.918,71.5,4.25,2,0,21.875,4.389,11.766,0.81
